# archetype
adventurous lad, airhead scholar, ambitious novice, animal whisperer, annoying urchin, arrogant doctor, austere priest, beloved general, blunt farmer, classy courtesan, cold governess, corrupt guard, crafty eunuch, criminal genius, cruel count, daring explorer, dashing poet, desperate bandit, disguised beggar, doughty fighter, dumb thug, edgy artist, enigmatic oracle, evil sorcerer, exiled politician, fallen knight, fanatical cultist, fearless daredevil, femme fatale, flamboyant tailor, foppish courtier, gentleman thief, glib merchant, gossiping servant, greedy pirate, grim undertaker, grizzled ranger, gruff blacksmith, hardboiled sleuth, harried student, heartless landlord, hedonist duke, hippy herbalist, honest laborer, hotheaded duelist, idealistic recruit, irritable cook, jaded veteran, jolly monk, learned sage, lovable drunk, lovestruck youth, loyal squire, mad inventor, melancholy queen, misfit outlander, musical prodigy, mysterious figure, narcissist actor, noble prince, nosy innkeeper, oafish earl, old fool, overeager bard, pathetic gambler, penniless writer, pious pilgrim, pitiful orphan, plucky princess, raging barbarian, rash occultist, righteous paladin, roguish smuggler, ruthless assassin, salty mariner, sarcastic jester, senile monarch, serene hermit, silent headsman, sinister vizier, sleazy lawyer, sleepy jailer, slimy henchman, sly trickster, solitary composer, sour bureaucrat, spirited rebel, spoiled heir, starving poacher, strict officer, suspicious spy, swashbuckler, talkative peddler, tyrannical leader, wealthy patron, wild druid, wise wizard, wizened crone, worn-out boxer, zealous inquisitor
*archetype*, always bored, anxious, arrogant, blunt, bossy, braggart, bully, can-do attitude, chatterbox, chipper, chummy, competitive, compulsive liar, condescending, conniving, courageous, cowardly, creep, cryptic, debonair, decadent, ditz, dogmatic, droll, epicurean, fanatic, femme fatale, fiercely loyal, flamboyant, flirt, folksy, formal, generous, germaphobe, glutton, gossip, gullible, hard-boiled, holds a grudge, honorable, hothead, humorless, idealistic, imperious, impulsive, insecure, intense, jealous, jerk, klutz, know-it-all, knows everybody, logical, love-struck, manic, melancholic, misanthrope, miserly, morbid, naive, narcissist, nerd, never gives up, obsessive, over-cautious, paranoid, patriotic, pedantic, perfect manners, perfectionist, pious, power-hungry, prejudiced, prickly, proselytizer, righteous, rigid discipline, ruthless, sadist, sarcastic, self-pitying, serene, skeptical, slacker, slovenly, snitch, snob, sophist, spacey, superstitious, terrible memory, thick, toady, totally unreliable, truthful, uptight, whiner, windbag, wisecracking

# npc detail
*mutation*, acid scar, aquiline face, arrow scar, athletic, bad eyesight, bald, balding, beautiful, birthmark, bite mark, blade scar, blind, blunt face, bony, braided hair, brawny, bristly hair, broken nose, burn scar, bushy brows, childish face, chiseled face, claw scar, coiffed, corpulent, craggy face, crooked teeth, cropped hair, curly hair, deaf, delicate face, dreadlocks, filthy hair, flabby, flat face, frail, freckles, furrowed face, gaunt, gold tooth, hard of hearing, hulking, lanky, lantern jaw, limp, lumpy face, luxurious hair, missing arm, missing ear, missing eye, missing finger, missing foot, missing hand, missing leg, missing teeth, mute, no eyebrows, noose scar, oily, pageboy hair, perfect posture, perfumed, piercings, pointed face, ponytail, pox scars, ripped, ritual scar, rosy face, rotten teeth, round face, rugged, scrawny, shaggy hair, sharp teeth, shriveled, silky hair, sinewy, slender, slicked hair, slouched, smelly, square face, squint, statuesque, stout, sweaty, tattooed, tiny, topknot, towering, twisted lip, very long hair, warts, wavy hair, weathered face, willowy, wiry, wispy hair

# profession
*archetype*, abbot, acolyte, acrobat, adviser, alchemist, apothecary, archer, artisan, artist, baker, beggar, blacksmith, bookbinder, brewer, burglar, carpenter, circus performer, composer, cook, count, courtier, cutpurse, doctor, dogcatcher, dramaturge, duke, earl, eunuch, executioner, falconer, farmer, fence, fisherman, fishwife, fortuneteller, galley slave, gambler, gardener, general, gladiator, governess, gravedigger, guard, herbalist, hermit, horse breeder, hunter, innkeeper, interpreter, jailer, jester, jeweler, juggler, knight, lady, locksmith, magician, mariner, merchant, minstrel, monarch, moneylender, monk, musician, orphan, outlander, outlaw, page, peddler, pilgrim, poacher, poisoner, priest, prince, privateer, ratcatcher, scholar, scribe, sellsword, ship’s captain, shopkeeper, smuggler, soldier, spy, squire, student, swindler, tailor, tavern wench, thespian, tomb robber, torturer, trapper, urchin, vagrant, viscount, vizier, wigmaker, young lady

# goal
*mission*, achieve holiness, acquire followers, acquire land, acquire wealth, advise leader, amaze city, avoid detection, become free, become infamous, become learned, clear region, collect artifacts, conquer city, conquer region, control city, control faction, control magic, control military, control politics, control religion, control trade, create army, create art, create base, create city, create disease, create dungeon, create faction, create family, create machine, create monopoly, create monster, create portal, cripple faction, cure disease, destroy army, destroy artifacts, destroy city, destroy faction, destroy family, destroy magic, destroy nobility, destroy realm, destroy religion, destroy world, discredit faction, distribute wealth, end poverty, end war, enforce law, enforce morality, enlightenment, entertainment, fame and glory, find justice, find love, frame faction, frighten city, frighten faction, gain respect, get revenge, hear rumors, indulge tastes, join faction, join nobility, lead faction, map wild, master skill, overthrow ruler, pacify faction, protect artifacts, protect borders, protect city, protect faction, protect family, protect history, protect leader, protect region, protect the weak, publish works, purge traitors, raise the dead, restore faction, restore ruler, rule city, rule realm, rule world, sabotage faction, see the world, serve a deity, serve evil, serve faction, serve leader, serve the needy, share knowledge, slay monsters, sow chaos, spread beliefs, survive dangers

# asset
*book* expert, *building*, *potion*, *power*, *profession*, *spell*, *structure*, agile, assassin leader, bodyguards, building access, card shark, charming, contortionist, cooks books, cult leader, demigod, disciples, disguises, dungeon access, elite archer, elite fighter, erases evidence, excellent liar, extremely rich, faction leader, faction member, famous actor, famous artist, famous cleric, famous composer, famous explorer, famous general, famous poet, fast, feared, fence, forges papers, gorgeous, hears rumors, heir to a fortune, huge family, impersonator, instructor, intimidating, knows buyers, knows shortcut, launders money, local knowledge, loremaster, loyal henchmen, master mage, mechanical expert, military leader, multilingual, natural leader, noble, nothing to lose, owed favors, owed money, owns armory, owns army, owns castle, owns factory, owns fleet, owns library, owns manor, owns press, owns relics, owns ship, owns stables, owns the guards, owns tower, owns warband, political leader, potion stockpile, powerful ex, powerful friend, powerful lover, powerful parent, powerful spouse, procures gear, religious leader, respected, saboteur, secret base, secret lab, secret weapon, sells contraband, servants, shapeshifter, smuggles goods, spy network, stage magician, stealthy, strong, trained animals, trained monsters, unbreakable, war hero

# liability
*delusion*, *food* addict, *monster trait*, *mutation*, *scent*, *sound*, *weakness*, alcoholic, arthritis, bad leader, bad liar, bankrupt, beholden, blackmailed, blind, cannot count, cannot read, clumsy, condescending, coward, crippled, cursed, deaf, decadent, disloyal followers, disobeys orders, drug addict, evil lineage, exiled, faction enemy, faints, family enemy, flirts constantly, fragile, gambling addict, gets in fights, glutton, greedy, gullible, hemophilia, hideous, huge debts, insurrectionist, jealous, known con artist, known murderer, known thief, known traitor, known vandal, laughingstock, lazy, leaves evidence, loud, lowborn, many enemies, many exes, migraines, military enemy, mind-controlled, misinformed, money trail, narcissist, needs flattery, needs medicine, no rights, non-human, obese, obnoxious, ocd, outcast, paranoid, pariah, party animal, political enemy, poor equipment, prison record, reckless, religious enemy, scandalous birth, secret lover, seizures, senile, softhearted, strict routines, stupid, superstitious, surveilled, suspicious, too generous, transformed, uncool, undead, unpopular, vampire, very short, wanted, war criminal, weak-willed, werewolf, widely despised

# relationship
acquaintance, admirer, adviser, ally, apprentice, assistant, aunt or uncle, believer, beneficiary, best friend, blackmailer, bodyguard, business partner, business rival, buyer, captive, captor, champion, child, client, coach, collaborator, colleague, competitor, confessor, confidant, contact, crush, customer, debtholder, debtor, disciple, donor, employee, employer, ex-spouse, fan, fiance, frenemy, grandchild, grandparent, guardian, guest, half-sibling, harasser, henchman, housekeeper, idol, investor, jilted lover, kidnapper, lover, maid, master, mentor, nemesis, niece or nephew, oppressor, paid companion, paramour, parent, patron, pen pal, political prisoner, political rival, predator, prey, prisoner, protege, quarry, right hand, rival suitor, servant, sibling, snitch, social rival, source, sponsor, spouse, stalker, step-child, step-parent, step-sibling, steward, student, suitor, supplicant, supplier, sweetheart, teacher, teammate, thrall, tormentor, trainer, unrequited love, valet, vassal, victim, war buddy, ward

# mannerism
*archetype*, *sound*, anecdotes, asides, authoritative, booming, breathy, brusque, chatty, cheery, chuckles, clipped, cocky, condescending, conspiratorial, crooning, cryptic, curt, deadpan, deep voice, dramatic, drawl, droning, effusive, enunciates, flowery, genteel, grave, gravelly, growling, halting, hiccups, highly formal, histrionic, hoarse, honeyed, hushed, hyperbolic, hypnotic, incoherent, insistent, interrupts, laconic, languid, lilting, long pauses, melodious, monosyllabic, monotone, mumbles, name-drops, narrates, nasal, ominous, overconfident, overly casual, pedantic, platitudinous, ponderous, pontificating, precise, prissy, profane, professorial, purring, quaint sayings, quiet, quivering, quotations, rambling, random facts, ranting, rapid-fire, raspy, resonant, rhyming, rhythmic, robotic, sarcastic, seductive, shrill, sing-song, slow speech, slurring, sneering, sonorous, soothing, speechifying, squeaky, street slang, stutters, talks to self, trails off, upspoken, vitriolic, voice breaks, warm, whispers, wistful, wry

